dataset,metric,instruction
korean-parallel-corpora-k2e,comet_wmt22,"제시되는 한국어 문장을 정확하고 자연스러운 영어로 번역하십시오. 답변에는 오직 영어 번역문만을 포함하고, 그 외의 설명, 주석, 추가 텍스트를 절대 포함하지 마십시오. 반드시 영어 번역문만 출력해야 합니다."
korean-parallel-corpora-e2k,comet_wmt22,"제시되는 영어 문장을 정확하고 자연스러운 한국어로 번역하십시오. 답변에는 오직 한국어 번역문만을 포함하고, 그 외의 설명, 주석, 추가 텍스트를 절대 포함하지 마십시오. 반드시 한국어 번역문만 출력해야 합니다."
squad_kor_v1,char_f1,"다음 지문과 질문을 읽고 질문에 대한 답을 한 마디로 추출해 주세요. 답변은 명사로 답해 주세요. 그 외에는 아무것도 포함하지 않는 것을 엄격히 지켜주세요."
kobest_copa,exact_match,"전제를 읽고, 뒤에 올 적절한 문장의 번호를 선택하여 답변하십시오. 답변에는 오직 '1' 또는 '2' 중 하나의 숫자만 포함해야 하며, 마침표(.), 쉼표(,), 공백, 줄바꿈 등 어떤 추가 문자나 텍스트도 절대 포함하지 마십시오. 정확히 '1' 또는 '2'만 출력하십시오. 예시: 1 (올바름), 1. (틀림), 1, (틀림), A1 (틀림)"
kobest_hs,exact_match,"전제를 읽고, 뒤에 올 적절한 문장의 번호를 선택하여 답변하십시오. 답변에는 오직 '0', '1', '2', '3' 중 하나의 숫자만 포함해야 하며, 마침표(.), 쉼표(,), 공백, 줄바꿈 등 어떤 추가 문자나 텍스트도 절대 포함하지 마십시오. 정확히 '0', '1', '2', '3' 중 하나만 출력하십시오. 예시: 2 (올바름), 2. (틀림), 2, (틀림), A2 (틀림)"
korea_cg,bleu,"주어진 단어들을 모두 사용하여 자연스럽고 의미 있는 문장을 완성하십시오. 단어의 순서는 자유롭게 변경할 수 있습니다. 답변에는 오직 완성된 문장만 포함하고, 다른 어떤 설명이나 추가 텍스트도 절대 포함하지 마십시오. 완성된 문장만 작성하십시오."
gsm8k,exact_match,"주어진 영어 지문을 읽고 수학 문제를 풀어, 최종 계산 결과인 숫자만을 답변하십시오. 답변에는 오직 하나의 정수의 숫자만 포함해야 하며, 마침표(.), 쉼표(,), 공백, 줄바꿈 등 어떤 추가 문자나 텍스트도 절대 포함하지 마십시오. 정확히 정수 숫자 하나만 출력하십시오. 예시: 42 (올바름), 42. (틀림), 42, (틀림), A42 (틀림)"
klue_ner,char_f1,"주어진 텍스트에서 고유표현(조직, 사람, 지역, 날짜, 시간, 수량)을 모두 추출하십시오. 답변은 고유표현과 종류만을 정확히 기재하며, 그 외의 설명이나 추가 텍스트는 포함하지 마십시오. 잘못된 종류는 포함하지 않도록 주의해 주세요. 답변 형식은 '고유표현1(종류1) 고유표현2(종류2)'와 같이 구성하십시오."
kmmlu,exact_match,"전제를 읽고, 뒤에 올 적절한 문장의 영어 선택지를 선택하여 답변하십시오. 답변에는 오직 영어 'A', 'B', 'C', 'D' 중 하나의 영어 선택지만 포함해야 하며, 마침표(.), 쉼표(,), 공백, 줄바꿈 등 어떤 추가 문자나 텍스트도 절대 포함하지 마십시오. 정확히 'A', 'B', 'C', 'D' 중 하나만 출력하십시오. 예시: A (올바름), A. (틀림), A, (틀림), A) (틀림)"
kmmlu_IncorrectChoice,exact_match,"주어진 질문과 선택지 중에서 오답이 될 수 있는 답을 모두 선택해 주세요. 답변에는 선택지 기호(예: A,B,C)만을 포함해야 하며, 마침표(.), 공백, 줄바꿈 등 어떤 추가 문자나 텍스트도 절대 포함하지 마십시오. 답변이 되는 알파벳은 쉼표로만 구분하여 출력해야 합니다. 예시: A,B,C (올바름), A,B,C. (틀림), A, B, C (틀림 - 공백 포함)"
kmmlu_SymbolChoice,exact_match,"주어진 질문과 선택지 중에서 정답이 될 수 있는 선택지의 기호를 선택하여 답변하십시오. 답변에는 오직 선택지 기호 '$', '&', '#', '@' 중 하나만 포함해야 하며, 마침표(.), 쉼표(,), 공백, 줄바꿈 등 어떤 추가 문자나 텍스트도 절대 포함하지 마십시오. 정확히 '$', '&', '#', '@' 중 하나만 출력하십시오. 예시: $ (올바름), $. (틀림), $, (틀림), A$ (틀림)"
haerae_bench_v1,exact_match,"주어진 질문과 선택지 중에서 정답이 될 수 있는 선택지의 알파벳을 선택하여 답변하십시오. 답변에는 오직 영어 'A', 'B', 'C', 'D', 'E' 중 하나의 영어 선택지만 포함해야 하며, 마침표(.), 쉼표(,), 공백, 줄바꿈 등 어떤 추가 문자나 텍스트도 절대 포함하지 마십시오. 정확히 'A', 'B', 'C', 'D', 'E' 중 하나만 출력하십시오. 예시: B (올바름), B. (틀림), B, (틀림), B) (틀림)"
mmlu_en,exact_match,"From the given choices, select the correct answer by choosing the corresponding single letter. Your answer must contain only one English choice from the English letters 'A', 'B', 'C', 'D', and never any other letters, punctuation marks (., ,), spaces, or additional text. Your answer must consist of only one letter representing the selected option. Example: A (correct), A. (incorrect), A, (incorrect), A) (incorrect)"
kobest_sn,exact_match,"주어진 문장의 감정을 분석하여 'positive' 또는 'negative' 중 하나로만 답변하십시오. 답변에는 오직 'positive' 또는 'negative'만 포함해야 하며, 마침표(.), 쉼표(,), 공백, 줄바꿈 등 어떤 추가 문자나 텍스트도 절대 포함하지 마십시오. 정확히 'positive' 또는 'negative'만 출력하십시오. 예시: positive (올바름), positive. (틀림), positive, (틀림), Apositive (틀림)"
